VUs,2024 Local,2024 Remote,2025 Local,2025 Remote,2025 POC Local,"2025 POC Local 1,4","2025 POC Local 2,4","2025 POC Local 3,6","2025 POC Local 4,8"
1,48.7,22.5,183.5,26.1,27.2,,9.4,,
5,115.2,48.1,470.7,75.9,42.4,,,,
7,5.3,13.9,507.5,83.3,59.2,,,,
9,0.9,0.7,518.6,76.4,75.3,,,,
10,0.51,0.5,530.8,65.3,83.7,,88.5,,
20,,,556.4,73.4,164.6,,,,
40,,,523,56.9,327.6,,,,
80,,,601.2,45.9,640.1,,,,
160,,,623,42.3,1238.1,,1257,,
320,,,604.4,38.8,2195,,2302,,
360,,,613.9,46.5,,,,,
640,,,598.4,42.5,5317,3111,3901,,
960,,,639.5,,,,,,
1280,,,580,,5541,4108,5214,,
1600,,,582.4,,,,,,
1840,,,596.8,,,,6025,,
2080,,,614,,,,,,
2560,,,497.3,,3680,4523,6720,5500,5647
3200,,,,,2823,,6036,,
3840,,,,,3543.3,,5879,,
5120,,,,,2821.4,,2891,,
5760,,,,,,,2430,1932,
6400,,,,,1607,,2047,,
7680,,,,,,,1772,,
10240,,,,,,,744,,
