VUs,2024 Local,2024 Remote,2025 Local,2025 Remote,2025 POC Local
1,16.2,7.5,61.2,8.7,2.3
5,38.4,16.1,156.9,25.3,10.6
7,1.8,4.7,169.1,27.8,14.8
9,0.29,0.3,172.9,25.5,18.8
10,0.17,0.5,176.9,21.8,20.9
20,,,185.5,24.5,41.1
40,,,174.3,18.9,81.9
80,,,200.4,15.2,159.8
160,,,207.7,14.1,309.7
320,,,201.5,12.9,548
360,,,204.6,15.4,
640,,,199.5,14.6,1326.9
960,,,213,,
1280,,,193.4,,1379.9
1600,,,194.2,,
1840,,,199,,
2080,,,205,,
2560,,,166.3,,1124.3
3200,,,,,694
3840,,,,,871.6
5120,,,,,687.9
