VUs,2024 Local,2024 Remote,2025 Local,2025 Remote,2025 POC Local,2025 POC Local x4,"2025 POC Local 2,4","2025 POC Local 3,6","2025 POC Local 4,8"
1,15.1,5.4,58.6,8.6,2.3,,2.4,,
5,40.1,12.8,159,24.1,10.7,,,,
7,0.31,6.2,175,29.4,14.9,,,,
9,NA,0.07,180,23,18.9,,,,
10,NA,NA,180,21.5,21,,22.3,,
20,,,190,24.4,41.5,,,,
40,,,178,19.8,83.8,,,,
80,,,204,16.3,163.3,,,,
160,,,210,14.2,317,,318,,
320,,,172,9.1,562,,589,,
360,,,175,8.2,,,,,
640,,,192,1.8,1361.8,797.3,994,,
960,,,169,,,,,,
1280,,,118,,1416,1053,1330,,
1600,,,138,,,,,,
1840,,,87,,,,1541,,
2080,,,101,,,,,,
2560,,,68,,1160.9,1148.8,1699,1402,1439
3200,,,,,730,,1536,,
3840,,,,,910.8,,1501,,
5120,,,,,739.8,,736,,
5760,,,,,483,,740,979,
6400,,,,,421,,560,,
7680,,,,,,,435,,
10240,,,,,,,175,,
