VUs,2024 Local,2024 Remote,2025 Local,2025 Remote,2025 POC Local,"2025 POC Local 1,4","2025 POC Local 2,4","2025 POC Local 3,6","2025 POC Local 4,8",2025 POC GCP (self-provisioned Kafka and Postgres
1,15,5.4,46.2,8.6,3.1,,3.2,,,
5,16.9,11.4,27,8,14.2,,,,,
7,0.1,6.1,21.3,6.8,19.9,,,,,
9,NA,0.2,16.9,4,25.4,,,,,
10,NA,NA,15.2,3.4,28.3,,30.1,,,26
20,NA,NA,9.3,1.8,54.9,,,,,98
40,NA,NA,6.3,0.7,109,,,,,147
80,NA,NA,4.5,0.3,219,,,,,325
160,NA,NA,2.5,0.2,416,,430,,,434
320,NA,NA,0.7,0.1,768,,792,,,822
360,NA,NA,0.7,NA,,,,,,
640,NA,NA,0.5,NA,1798,1060,1367,,,1068
960,NA,NA,0.2,NA,,,,,,
1280,NA,NA,0.2,NA,1966,1501,1814,,,1158
1600,NA,NA,0.1,NA,,,,,,
1840,NA,NA,NA,NA,,,2074,,,
2080,NA,NA,NA,NA,,,,,,
2560,NA,NA,NA,NA,1457,1519,2359,2044,2166,
3200,,,,,1052,,2111,,,
3840,,,,,1231,,2214,,,
5120,,,,,1112,,2205,,,
5760,,,,,1328,,1689,1765,1715,
6400,,,,,1099,,1445,,,
7680,,,,,,,1466,,,
10240,,,,,,,393,,,
